date,algoma_public_health_unit,toronto_public_health
2020-03-30,3,197
2020-04-01,1,32
2020-04-03,1,100
2020-04-04,1,62
2020-04-05,1,96
2020-04-08,1,173
2020-04-11,1,123
2020-04-17,1,242
2020-04-18,1,205
2020-04-26,1,120
2020-05-08,3,261
2020-05-15,1,220
2020-05-17,1,105
2020-05-18,2,76
2020-05-27,1,128
2020-06-12,1,90
2020-06-13,1,104
2020-06-20,1,71
2020-07-11,1,42
2020-07-16,1,30
2020-07-18,1,47
2020-08-31,1,41
2020-09-04,1,41
2020-09-19,1,129
2020-09-21,1,175
2020-09-25,1,204
2020-10-02,1,323
2020-10-03,1,284
2020-10-07,2,173
2020-10-08,1,265
2020-10-11,2,140
2020-10-19,1,244
2020-10-23,1,292
2020-10-26,1,281
2020-10-28,1,299
2020-11-02,1,315
2020-11-04,2,319
2020-11-06,1,300
2020-11-09,6,483
2020-11-10,3,520
2020-11-11,2,384
2020-11-16,1,508
2020-11-26,2,356
2020-12-01,1,727
2020-12-12,1,522
2020-12-19,1,665
2020-12-21,1,611
2020-12-23,1,629
2020-12-25,1,616
2020-12-27,1,572
2021-01-01,1,499
2021-01-02,9,700
2021-01-03,2,786
2021-01-04,4,917
2021-01-05,4,778
2021-01-06,7,805
2021-01-07,12,891
2021-01-08,3,1382
2021-01-09,10,1070
2021-01-10,3,1160
2021-01-11,7,931
2021-01-12,1,837
2021-01-15,7,800
2021-01-16,3,903
2021-01-17,2,1035
2021-01-18,2,815
2021-01-21,5,897
2021-01-22,2,779
2021-01-23,1,708
2021-01-28,2,700
2021-01-29,3,595
2021-01-30,7,713
2021-01-31,3,726
2021-02-02,2,-119
2021-02-03,2,444
2021-02-04,5,584
2021-02-05,1,667
2021-02-06,1,455
2021-02-07,2,517
2021-02-08,3,421
